title,address,facility,緯度,経度
世界で1つしかない本革ショルダーバッグ作りに挑戦！！,東京都墨田区緑2-13-5,Facility information not found,35.6944123,139.8006397
日帰りも宿泊もOK！幼児から楽しめる複合レジャー施設,滋賀県米原市池下80-1,Facility information not found,35.3729569,136.3607066
徐福公園,和歌山県新宮市徐福1-4-24,古代中国の秦の方士であった徐福にちなんだ公園です。徐福は、始皇帝の命令により東方に赴き、日本で余生を過ごしたことはよく知られていますが、新宮市に伝わる徐福...,33.7244643,135.9949653
ふるさとの川総合公園,和歌山県有田市宮原町滝川原地内河川敷,"有田川沿いの公園で、明神山や平見山、雲雀山に囲まれていて、川のせせらぎと緑の風景を満喫できます。

シーズンには鯉のぼりが上がる観光スポットでもあり、...",34.0793994,135.166996
千葉山（きび・千葉の森公園）,和歌山県有田郡有田川町大賀畑,標高542mの千葉山の頂上にある森林公園です。園内の全長2kmの遊歩道を歩けば、森林浴を兼ねたピクニックになります。頂上では、景色を楽しみながらお弁当を食...,34.0956625,135.197424
本町公園（和歌山市）,和歌山県和歌山市北桶屋町7番地,和歌山市の市街地、「本町郵便局」や「本町幼稚園」のすぐそばに整備されている公園です。比較的大きな公園で、春には桜の名所として多くの人々がお花見を楽しむ姿が...,34.2364985,135.1751222
花の里河川公園,和歌山県有田郡有田川町庄691-2,有田川の河川敷を整備したキャンプもできる公園です。アウトドアを満喫するにはピッタリの河川敷は広々としていて、気持ちいい空の下で様々な自然体験を楽しめます。...,34.0717552,135.2345169
松江緑地,和歌山県和歌山市松江,和歌山市の「河西緩衝緑地」を構成する5つの緑地の中の1つです。多目的運動広場、テニスコートなどのスポーツ施設もあり、噴水や広場など憩いの場所もあり、子供た...,34.2385864,135.1284047
扇ケ浜公園,和歌山県田辺市扇ケ浜2,田辺湾に面した自然公園です。名称のとおり、約1kmにわたって続くなだらかな砂浜の形が扇を広げたようにみえます。海岸の景色をながめたい時には、最適のスポット...,33.7264141,135.3779145
黒潮公園,和歌山県新宮市三輪崎～佐野,新宮港のそばにある緑豊かな公園です。園内には、オオシマザクラやソメイヨシノが約200本植栽されていて、春には花見スポットになります。また、園内の「子ども園...,33.678882,135.973742
広川ダム公園,和歌山県有田郡広川町下津木,広川水系広川上流部にあるダム周辺の公園です。毎年春には、約3000本ものソメイヨシノが咲き誇り、絶好の花見スポットになります。大勢の花見客でにぎわい、桜を...,33.9818638,135.2337297
長町公園（和歌山市）,和歌山県和歌山市東長町九丁目8番地,"日赤の「和歌山医療センター」のすぐそばにある公園です。広々としたグラウンドが公園の中心に広がり、見通しも良く、公園の外からも中の様子が見渡せます。

...",34.2420174,135.1752453
ウエノ公園,和歌山県有田市宮崎町1166-1,もともとは、則岡豊松が創設した公園で、彼の妻の名前から名づけられました。山上には豊龍山無縁寺があることから、毎年春夏には太平洋戦争で戦没した無縁の英霊や1...,34.0753882,135.0980222
南山スポーツ公園,和歌山県日高郡日高川町和佐2223-5,和歌山県日高郡日高川町にあるスポーツ施設です。野球場、陸上競技場、遊歩道、広場があり、学校行事やクラブ活動、スポーツの団体の合宿に適しています。アーチェリ...,33.8857298,135.2036529
東濱口公園,和歌山県有田郡広川町広1292-2 東濱口公園,和歌山県の中心に位置し、有田郡の最南端にある和歌山県有田郡広川町。JR湯浅駅から徒歩で20分ほどのところにある、東濱口公園です。ヒゲタ醤油再興させた東濱口...,34.0264892,135.1719776
上富田スポーツセンター,和歌山県西牟婁郡上富田町朝来3871,和歌山県上富田町にあるスポーツセンターは、野球・テニス・サッカーなどが楽しめる総合スポーツ施設です。文化と健康づくりの一環で建設されました。野球場はスタン...,33.7180997,135.4270986
世界で1つしかない本革ショルダーバッグ作りに挑戦！！,東京都墨田区緑2-13-5,Facility information not found,35.6944123,139.8006397
アクセス抜群♪小さいお子様と一緒に楽しめるキャンプ場,滋賀県米原市池下80-1,Facility information not found,35.3729569,136.3607066
