Club,Genre,Address,Access,Age,Feature,url,longitude,latitude
スタッド 吐前教室,学習塾,和歌山県和歌山市吐前644-1,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123965,34.2450734,135.2737475
能開センター／和歌山校／中学部,学習塾,和歌山県和歌山市黒田１丁目４－１６,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032664,34.2334225,135.1926427
優学館ゼミ,学習塾,和歌山県和歌山市梶取２４４－２５,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032788,34.2485739,135.1576902
英語専科塾,学習塾,和歌山県和歌山市田尻１７３－３０２,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032592,34.2113823,135.1989745
総合格闘技日本空手道無名塾,空手・拳法,和歌山県和歌山市梶取１７２－１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000001236,34.2512196,135.1567046
ＧＥＳ／パームシティ校,学習塾,和歌山県和歌山市中野３１－１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032838,34.2542792,135.1394014
３ステップ学習塾,学習塾,和歌山県和歌山市古屋１８２－２９,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032931,34.2541307,135.1226903
株式会社エイチ・エム・グループ,学習塾,和歌山県和歌山市六十谷２２６－１５,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032904,34.2614965,135.204988
海堀ピアノ教室,ピアノ,和歌山県和歌山市木ノ本８５９－１６,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000048840,34.2638422,135.1323775
個別指導Ｗａｍ／西浜校,学習塾,和歌山県和歌山市秋葉町７－２７,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032626,34.2022595,135.1706339
ヤマハ音楽教室服部楽器,幼児教室,和歌山県和歌山市吹上１丁目２－２０,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000054318,34.2242212,135.1701786
学研 三葛教室,学習塾,和歌山県和歌山市三葛625-4,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123814,34.1940931,135.1916573
ITTO個別指導学院 紀伊駅前校,学習塾,和歌山県和歌山市北野530-1,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123996,34.2680853,135.2454294
けいせい塾四谷大塚ＮＥＴ,学習塾,和歌山県和歌山市太田１丁目１３－１５,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032768,34.232108,135.1936775
学研 紀伊教室,学習塾,和歌山県和歌山市弘西318-4,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123829,34.2665277,135.2374827
外畑そろばん教室,書道・習字,和歌山県和歌山市南材木丁３丁目１７,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000056901,34.2292158,135.1811993
個別指導Ｗａｍ／小松原校,学習塾,和歌山県和歌山市吹上４丁目１－５３,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032681,34.2164974,135.16985
中高年からのピアノ教室前田,ピアノ,和歌山県和歌山市北島５０６－１３,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000048826,34.23844649999999,135.1588621
楠山塾,学習塾,和歌山県和歌山市松ケ丘２丁目５－４６,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032598,34.2044376,135.1639068
高岡珠算研生会,書道・習字,和歌山県和歌山市東高松４丁目４－３９,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000056906,34.2043955,135.1734493
ヤマハ音楽教室 東山東幼稚園,音楽教室,和歌山県和歌山市山東中124,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000123904,34.2007602,135.2571953
英進会,学習塾,和歌山県和歌山市黒田１丁目２－２１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032645,34.2326855,135.1933444
株式会社エスビジョングループ,学習塾,和歌山県和歌山市黒田１丁目２－２１,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032712,34.2326855,135.1933444
布施屋進学塾,学習塾,和歌山県和歌山市布施屋４９６,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000032869,34.2456697,135.2674082
ＫＧセミナー,学習塾,和歌山県和歌山市黒田２丁目２－２２－２０６,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s18000040954,34.2327793,135.1960704
